gridlinks,gridlinks-href,title,address,phone,website
"Geotab","http://www.heavyequipmentguide.ca/company/6460/geotab","Geotab","21-1075 North Service Road West","Phone:: 1-416-434-4309","Phone:: 1-416-434-4309"
"Magnum Systems, Inc. / Paladin Light Construction Group","http://www.heavyequipmentguide.ca/company/1198/magnum-systems-inc-paladin-light-construction-group","Magnum Systems, Inc. / Paladin Light Construction Group","1250 Seminary Street","Phone: (800) 748-7000","Phone: (800) 748-7000"
"Custom Equipment, Inc. / Hy-Brid Lifts","http://www.heavyequipmentguide.ca/company/1201/custom-equipment-inc-hy-brid-lifts","Custom Equipment, Inc. / Hy-Brid Lifts","2647 Hwy. 175","Phone: 866-334-0756","Phone: 866-334-0756"
"Liebherr Construction Equipment Co.","http://www.heavyequipmentguide.ca/company/4130/liebherr-construction-equipment-co","Liebherr Construction Equipment Co.","4100 Chestnut Ave.","Tel: 757-245-5251","Tel: 757-245-5251"
"ICOM Canada","http://www.heavyequipmentguide.ca/company/1472/icom-canada","ICOM Canada","#150 – 6165 Hwy. 17","Phone: 604-952-4266","Phone: 604-952-4266"
"Frontline Machinery","http://www.heavyequipmentguide.ca/company/6432/frontline-machinery","Frontline Machinery","43779 Progress Way","Phone:: 1-855-625-2009","Phone:: 1-855-625-2009"
"Personnel Management Group Inc.","http://www.heavyequipmentguide.ca/company/2197/personnel-management-group-inc","Personnel Management Group Inc.","PO Box 48071","Phone: 204) 982-1100","Phone: 204) 982-1100"
"IDS North America Ltd","http://www.heavyequipmentguide.ca/company/6358/ids-north-america-ltd","IDS North America Ltd","155 Terence Matthews Crescent","Telephone: +1 (613) 591 0500","Telephone: +1 (613) 591 0500"
"Chevron Products Company","http://www.heavyequipmentguide.ca/company/1614/chevron-products-company","Chevron Products Company","6001 Bollinger Canyon Road","Phone: +1 925.842.1000","Phone: +1 925.842.1000"
"Pacific Construction Equipment Show","http://www.heavyequipmentguide.ca/company/4089/pacific-construction-equipment-show","Pacific Construction Equipment Show","null","Website:
                                    
                                        www.pacificequipmentshow.ca","Website:
                                    
                                        www.pacificequipmentshow.ca"
"LaValley Industries","http://www.heavyequipmentguide.ca/company/4185/lavalley-industries","LaValley Industries","1876 23rd St SE","Phone: 218-444-3030","Phone: 218-444-3030"
"Cooper Tire & Rubber Company","http://www.heavyequipmentguide.ca/company/5856/cooper-tire-rubber-company","Cooper Tire & Rubber Company","701 Lima Avenue","Phone: 419-423-1321","Phone: 419-423-1321"
"Hougen Manufacturing","http://www.heavyequipmentguide.ca/company/250/hougen-manufacturing","Hougen Manufacturing","3001 Hougen Drive","Phone: 800-426-7818","Phone: 800-426-7818"
"Soprema Inc.","http://www.heavyequipmentguide.ca/company/1113/soprema-inc","Soprema Inc.","null","Website:
                                    
                                        www.soprema.ca","Website:
                                    
                                        www.soprema.ca"
"Black Cat Blades","http://www.heavyequipmentguide.ca/company/991/black-cat-blades","Black Cat Blades","5604-59 Street","Phone: 800-661-6666","Phone: 800-661-6666"
"British Columbia Construction Association (BCCA)","http://www.heavyequipmentguide.ca/company/5240/british-columbia-construction-association-bcca","British Columbia Construction Association (BCCA)","401 - 655 Tyee Road","Phone: 250-475-1077","Phone: 250-475-1077"
"Petrobank","http://www.heavyequipmentguide.ca/company/3989/petrobank","Petrobank","null","Website:
                                    
                                        www.petrobank.com","Website:
                                    
                                        www.petrobank.com"
"American Rental Association (ARA)","http://www.heavyequipmentguide.ca/company/2126/american-rental-association-ara","American Rental Association (ARA)","1900 19th Street","Phone: 800-334-2177","Phone: 800-334-2177"
"World of Asphalt","http://www.heavyequipmentguide.ca/company/1046/world-of-asphalt","World of Asphalt","6737 W. Washington Street, Suite 2400","Phone: 414-298-4138","Phone: 414-298-4138"
"Beyond Compliance Inc.","http://www.heavyequipmentguide.ca/company/1468/beyond-compliance-inc","Beyond Compliance Inc.","240, 600 Crowfoot Crescent NW","Phone: 1.866.323.4267","Phone: 1.866.323.4267"
"Gorman Rupp","http://www.heavyequipmentguide.ca/company/3155/gorman-rupp","Gorman Rupp","600 S. Airport Rd.","Phone: (419) 755-1011","Phone: (419) 755-1011"
"Traffic Logix","http://www.heavyequipmentguide.ca/company/1915/traffic-logix","Traffic Logix","null","null","null"
"AECOM","http://www.heavyequipmentguide.ca/company/3146/aecom","AECOM","555 South Flower St.","Phone: +1.213.593.8000","Phone: +1.213.593.8000"
"Imperial Oil","http://www.heavyequipmentguide.ca/company/249/imperial-oil","Imperial Oil","237 Fourth Avenue S.W.","Phone: 877-359-9792","Phone: 877-359-9792"
"Miller Electric Mfg. Co.","http://www.heavyequipmentguide.ca/company/206/miller-electric-mfg-co","Miller Electric Mfg. Co.","1635 W. Spencer St.","Phone: 920-734-9821","Phone: 920-734-9821"
"Sensaphone","http://www.heavyequipmentguide.ca/company/1114/sensaphone","Sensaphone","null","null","null"
"Barko Hydraulics, LLC","http://www.heavyequipmentguide.ca/company/6413/barko-hydraulics-llc","Barko Hydraulics, LLC","One Banks Avenue","Telephone: 715-395-6700","Telephone: 715-395-6700"
"Ultimate Corrosion Control","http://www.heavyequipmentguide.ca/company/4287/ultimate-corrosion-control","Ultimate Corrosion Control","null","null","null"
"HCI","http://www.heavyequipmentguide.ca/company/3299/hci","HCI","null","null","null"
"Shindaiwa, Inc.","http://www.heavyequipmentguide.ca/company/460/shindaiwa-inc","Shindaiwa, Inc.","null","null","null"
"Trambed","http://www.heavyequipmentguide.ca/company/1021/trambed","Trambed","null","null","null"
"Magnum Products LLC","http://www.heavyequipmentguide.ca/company/1202/magnum-products-llc","Magnum Products LLC","215 Power Drive","Phone: 800.926.9768","Phone: 800.926.9768"
"E-Z Drill","http://www.heavyequipmentguide.ca/company/723/e-z-drill","E-Z Drill","610 Cedar Street","Phone: 405-372-0121","Phone: 405-372-0121"
"Proxibid","http://www.heavyequipmentguide.ca/company/5713/proxibid","Proxibid","4411 South 96 Street","Phone: 402-505-7770","Phone: 402-505-7770"
"Dur-A-Flex","http://www.heavyequipmentguide.ca/company/3983/dur-a-flex","Dur-A-Flex","null","null","null"
"Konecranes Americas","http://www.heavyequipmentguide.ca/company/2088/konecranes-americas","Konecranes Americas","null","Website:
                                    
                                        www.konecranesamericas.com/","Website:
                                    
                                        www.konecranesamericas.com/"
"Antx","http://www.heavyequipmentguide.ca/company/1844/antx","Antx","3005 Glacier Pass Lane","Phone: 877.686.ANTX","Phone: 877.686.ANTX"
"Green Performance Systems","http://www.heavyequipmentguide.ca/company/2400/green-performance-systems","Green Performance Systems","3441 Longfellow Ave","null","null"
"The Grasshopper Company","http://www.heavyequipmentguide.ca/company/813/the-grasshopper-company","The Grasshopper Company","null","Website:
                                    
                                        www.grasshoppermower.com","Website:
                                    
                                        www.grasshoppermower.com"
"Oxford Plastics","http://www.heavyequipmentguide.ca/company/5880/oxford-plastics","Oxford Plastics","Unit T2, Enstone Business Park","Tel: +44 (0)1608 678888","Tel: +44 (0)1608 678888"
"Deep Root","http://www.heavyequipmentguide.ca/company/3076/deep-root","Deep Root","530 Washington Street","Phone: 800 458 7668","Phone: 800 458 7668"
"The Caldwell Group","http://www.heavyequipmentguide.ca/company/2822/the-caldwell-group","The Caldwell Group","null","Website:
                                    
                                        www.caldwellinc.com","Website:
                                    
                                        www.caldwellinc.com"
"J&J Truck Bodies & Trailers","http://www.heavyequipmentguide.ca/company/2276/jj-truck-bodies-trailers","J&J Truck Bodies & Trailers","10558 Somerset Pike","Phone: 814-444-3400","Phone: 814-444-3400"
"Canadian Industrial Distributors","http://www.heavyequipmentguide.ca/company/1380/canadian-industrial-distributors","Canadian Industrial Distributors","175 Sun Pac Boulevard, Unit 2A","Phone: (905) 595-0411","Phone: (905) 595-0411"
"West Chester Holdings","http://www.heavyequipmentguide.ca/company/3265/west-chester-holdings","West Chester Holdings","null","Website:
                                    
                                        www.west-chester.net","Website:
                                    
                                        www.west-chester.net"
"Heat Design Equipment Inc.","http://www.heavyequipmentguide.ca/company/6401/heat-design-equipment-inc","Heat Design Equipment Inc.","1197 Union St.","Telephone: 519-581-0676","Telephone: 519-581-0676"
"Cemen Tech","http://www.heavyequipmentguide.ca/company/6103/cemen-tech","Cemen Tech","1700 N. 14th St","Phone: 515-962-6788","Phone: 515-962-6788"
"EarthCam, Inc.","http://www.heavyequipmentguide.ca/company/3168/earthcam-inc","EarthCam, Inc.","null","Website:
                                    
                                        www.earthcam.net","Website:
                                    
                                        www.earthcam.net"
"Tesab","http://www.heavyequipmentguide.ca/company/6200/tesab","Tesab","Unit 9, Gortrush Industrial Estate","Website:
                                    
                                        www.tesab.com","Website:
                                    
                                        www.tesab.com"
"Piusi","http://www.heavyequipmentguide.ca/company/4038/piusi","Piusi","null","null","null"
"Deltalok Inc.","http://www.heavyequipmentguide.ca/company/903/deltalok-inc","Deltalok Inc.","Charles Street","Website:
                                    
                                        www.deltalok.com","Website:
                                    
                                        www.deltalok.com"
"Videx, Inc.","http://www.heavyequipmentguide.ca/company/2389/videx-inc","Videx, Inc.","null","null","null"
"Hino Motors Canada, Ltd.","http://www.heavyequipmentguide.ca/company/51/hino-motors-canada-ltd","Hino Motors Canada, Ltd.","6975 Creditview Road, Unit #2","Phone: 905-670-3352","Phone: 905-670-3352"
"Alimak Hek","http://www.heavyequipmentguide.ca/company/711/alimak-hek","Alimak Hek","null","Phone: 1 832 325 3840","Phone: 1 832 325 3840"
"Lefort America","http://www.heavyequipmentguide.ca/company/5376/lefort-america","Lefort America","6903 Vista Parkway N, Suite 9","Tel: 561-331-8589","Tel: 561-331-8589"
"AnyQuip Inc.","http://www.heavyequipmentguide.ca/company/6295/anyquip-inc","AnyQuip Inc.","Suite 100, 1410 1 Street SW","Phone: 1-855-454-6900","Phone: 1-855-454-6900"
"Hercules Machinery Corporation","http://www.heavyequipmentguide.ca/company/5792/hercules-machinery-corporation","Hercules Machinery Corporation","5025 New Haven Ave.","Toll Free: 800-348-1890","Toll Free: 800-348-1890"
"Corona Clipper","http://www.heavyequipmentguide.ca/company/906/corona-clipper","Corona Clipper","22440 Temescal Canyon Rd.","Phone: (800) 234-2547","Phone: (800) 234-2547"
"BIK Hydraulics","http://www.heavyequipmentguide.ca/company/2840/bik-hydraulics","BIK Hydraulics","41 Claireville Drive","Phone: 1-888-557-2244","Phone: 1-888-557-2244"
"Texas Instruments Inc.","http://www.heavyequipmentguide.ca/company/1826/texas-instruments-inc","Texas Instruments Inc.","null","null","null"
"Carlisle Coatings and Waterproofing, Inc.","http://www.heavyequipmentguide.ca/company/2520/carlisle-coatings-and-waterproofing-inc","Carlisle Coatings and Waterproofing, Inc.","900 Hensley Lane","Phone: (800) 527-7092","Phone: (800) 527-7092"
"TrakJack","http://www.heavyequipmentguide.ca/company/1613/trakjack","TrakJack","null","null","null"
"Western Global","http://www.heavyequipmentguide.ca/company/6007/western-global","Western Global","290 Quarry Rd.","Phone: 866-814-2470","Phone: 866-814-2470"
"Next Generation Power","http://www.heavyequipmentguide.ca/company/1676/next-generation-power","Next Generation Power","1732 Saint Johns Bluff Road","Phone: 888-463-9879","Phone: 888-463-9879"
"Schweitzer Engineering Laboratories, Inc.","http://www.heavyequipmentguide.ca/company/2008/schweitzer-engineering-laboratories-inc","Schweitzer Engineering Laboratories, Inc.","null","null","null"
"Terex Minerals Processing Systems","http://www.heavyequipmentguide.ca/company/4472/terex-minerals-processing-systems","Terex Minerals Processing Systems","909 17th Street NE","Website:
                                    
                                        www.terexmps.com","Website:
                                    
                                        www.terexmps.com"
"J P Carlton Co","http://www.heavyequipmentguide.ca/company/672/j-p-carlton-co","J P Carlton Co","121 John Dodd Road","Phone: 864-578-9335","Phone: 864-578-9335"
"Equipment Leasing & Finance Foundation","http://www.heavyequipmentguide.ca/company/4242/equipment-leasing-finance-foundation","Equipment Leasing & Finance Foundation","null","Website:
                                    
                                        www.LeaseFoundation.org","Website:
                                    
                                        www.LeaseFoundation.org"
"Stockpile Reports","http://www.heavyequipmentguide.ca/company/6181/stockpile-reports","Stockpile Reports","8201 164th Ave NE, Suite 200","Tel: 425-285-4303","Tel: 425-285-4303"
"K-Tec Earthmovers Inc.","http://www.heavyequipmentguide.ca/company/4814/k-tec-earthmovers-inc","K-Tec Earthmovers Inc.","Box 257","Telephone: 204-746-6435","Telephone: 204-746-6435"
"Hythane Company","http://www.heavyequipmentguide.ca/company/5000/hythane-company","Hythane Company","null","null","null"
"Future Buildings","http://www.heavyequipmentguide.ca/company/5135/future-buildings","Future Buildings","null","null","null"
"Serious Thermal Products","http://www.heavyequipmentguide.ca/company/4253/serious-thermal-products","Serious Thermal Products","Site 15 Box 4 RR#7","Phone: 403-671-7393","Phone: 403-671-7393"
"Peterson Pacific Corp","http://www.heavyequipmentguide.ca/company/537/peterson-pacific-corp","Peterson Pacific Corp","29408 Airport Rd","Fax: 541-689-0804","Fax: 541-689-0804"
"Vanguard ADA Systems","http://www.heavyequipmentguide.ca/company/3268/vanguard-ada-systems","Vanguard ADA Systems","null","Website:
                                    
                                        www.vanguardonline.com","Website:
                                    
                                        www.vanguardonline.com"
"Westbrook Greenhouse Systems Ltd.","http://www.heavyequipmentguide.ca/company/2690/westbrook-greenhouse-systems-ltd","Westbrook Greenhouse Systems Ltd.","null","Website:
                                    
                                        www.westbrooksystems.com","Website:
                                    
                                        www.westbrooksystems.com"
"Wirtgen","http://www.heavyequipmentguide.ca/company/5804/wirtgen","Wirtgen","Reinhard-Wirtgen-Straße 2","Telephone: +49 (0) 26 45 131 0","Telephone: +49 (0) 26 45 131 0"
"Douglas Lake Equipment","http://www.heavyequipmentguide.ca/company/4673/douglas-lake-equipment","Douglas Lake Equipment","null","null","null"
"Historical Construction Equipment Association (HCEA)","http://www.heavyequipmentguide.ca/company/4069/historical-construction-equipment-association-hcea","Historical Construction Equipment Association (HCEA)","null","Website:
                                    
                                        www.hcea.net","Website:
                                    
                                        www.hcea.net"
"AGM USA","http://www.heavyequipmentguide.ca/company/2761/agm-usa","AGM USA","PO Box 319","Phone: +1 (480) 289 3400","Phone: +1 (480) 289 3400"
"DiamondBack Truck Covers","http://www.heavyequipmentguide.ca/company/1653/diamondback-truck-covers","DiamondBack Truck Covers","null","Phone: 1.800.935.4002","Phone: 1.800.935.4002"
"American Eagle Accessories Group","http://www.heavyequipmentguide.ca/company/5238/american-eagle-accessories-group","American Eagle Accessories Group","null","null","null"
"BC Safety Authority","http://www.heavyequipmentguide.ca/company/3905/bc-safety-authority","BC Safety Authority","null","null","null"
"Layfield Group Limited","http://www.heavyequipmentguide.ca/company/411/layfield-group-limited","Layfield Group Limited","null","E-mail:
                                    
                                        international@layfieldgroup.com","E-mail:
                                    
                                        international@layfieldgroup.com"
"Power Pusher Canada","http://www.heavyequipmentguide.ca/company/762/power-pusher-canada","Power Pusher Canada","CA","Phone: 800-461-6734","Phone: 800-461-6734"
"Wells Fargo Equipment Finance Company","http://www.heavyequipmentguide.ca/company/5727/wells-fargo-equipment-finance-company","Wells Fargo Equipment Finance Company","2550 Victoria Park Ave","Phone: 416-498-6464","Phone: 416-498-6464"
"Brookfield Engineering Laboratories, Inc.","http://www.heavyequipmentguide.ca/company/3840/brookfield-engineering-laboratories-inc","Brookfield Engineering Laboratories, Inc.","11 Commerce Boulevard","Phone: (508) 946-6200 or 1-800-628-8139","Phone: (508) 946-6200 or 1-800-628-8139"
"BuildForce Canada","http://www.heavyequipmentguide.ca/company/5302/buildforce-canada","BuildForce Canada","220 Laurier Avenue West, Suite 1150","Phone: 613-569-5552","Phone: 613-569-5552"
"Keller North America","http://www.heavyequipmentguide.ca/company/5970/keller-north-america","Keller North America","7550 Teague Road  Suite 300","Tel: 410-551-1938","Tel: 410-551-1938"
"Nye Manufacturing Ltd.","http://www.heavyequipmentguide.ca/company/531/nye-manufacturing-ltd","Nye Manufacturing Ltd.","3585 Mavis Road","Tel:  905-897-2311","Tel:  905-897-2311"
"Hemisphere GPS","http://www.heavyequipmentguide.ca/company/4323/hemisphere-gps","Hemisphere GPS","8515 E. Anderson Drive","Website:
                                    
                                        hemispheregnss.com","Website:
                                    
                                        hemispheregnss.com"
"Griswold Pump Company","http://www.heavyequipmentguide.ca/company/3049/griswold-pump-company","Griswold Pump Company","22069 Van Buren Street","Phone: 800-843-9222","Phone: 800-843-9222"
"Diamond Z Manufacturing","http://www.heavyequipmentguide.ca/company/283/diamond-z-manufacturing","Diamond Z Manufacturing","11299 Bass Lane","Phone: 1-800-949-2383","Phone: 1-800-949-2383"
"Bri-Mar Manufacturing","http://www.heavyequipmentguide.ca/company/1386/bri-mar-manufacturing","Bri-Mar Manufacturing","1080 South Main Street","Phone: 717-263-6116","Phone: 717-263-6116"
"Thomas Equipment","http://www.heavyequipmentguide.ca/company/134/thomas-equipment","Thomas Equipment","null","null","null"
"Ditch Witch","http://www.heavyequipmentguide.ca/company/36/ditch-witch","Ditch Witch","1959 W. Fir Ave.","Phone: 800-654-6481","Phone: 800-654-6481"
"Maxwell Systems, Inc.","http://www.heavyequipmentguide.ca/company/2092/maxwell-systems-inc","Maxwell Systems, Inc.","null","null","null"
"NOTIFIER","http://www.heavyequipmentguide.ca/company/1432/notifier","NOTIFIER","12 Clintonville Road","Phone: 1.800.289.3473","Phone: 1.800.289.3473"
"Bronto Skylift","http://www.heavyequipmentguide.ca/company/1015/bronto-skylift","Bronto Skylift","Sinkenbreite 8","Phone: +49 7344 92 499 0","Phone: +49 7344 92 499 0"
"Takeuchi-US Mfg.","http://www.heavyequipmentguide.ca/company/4744/takeuchi-us-mfg","Takeuchi-US Mfg.","519 Bonnie Valentine Way","Phone: 706-693-3600","Phone: 706-693-3600"
"Canadian Construction Association (CCA)","http://www.heavyequipmentguide.ca/company/4743/canadian-construction-association-cca","Canadian Construction Association (CCA)","null","null","null"
"Woods Equipment Company","http://www.heavyequipmentguide.ca/company/821/woods-equipment-company","Woods Equipment Company","null","null","null"
"SBM Mineral Processing","http://www.heavyequipmentguide.ca/company/4923/sbm-mineral-processing","SBM Mineral Processing","Oberweis 401","Website:
                                    
                                        www.sbm-mp.at/en/","Website:
                                    
                                        www.sbm-mp.at/en/"
"Steel City Tool Works Canada","http://www.heavyequipmentguide.ca/company/2830/steel-city-tool-works-canada","Steel City Tool Works Canada","null","Website:
                                    
                                        www.steelcitytoolworks.com","Website:
                                    
                                        www.steelcitytoolworks.com"
"Staker Parson Companies","http://www.heavyequipmentguide.ca/company/5921/staker-parson-companies","Staker Parson Companies","2350 South 1900 West, Ste. 100","Phone: 801-731-1111","Phone: 801-731-1111"
"Logix","http://www.heavyequipmentguide.ca/company/3999/logix","Logix","null","null","null"
"Cement Association of Canada (CAC)","http://www.heavyequipmentguide.ca/company/4419/cement-association-of-canada-cac","Cement Association of Canada (CAC)","502-350 Sparks Street","Phone: 613-236-9471","Phone: 613-236-9471"
"Man & Material Lift Engineering","http://www.heavyequipmentguide.ca/company/2900/man-material-lift-engineering","Man & Material Lift Engineering","5707 South Pennsylvania Ave.","Phone: (414) 486-1760","Phone: (414) 486-1760"
"McLaren Industries, Inc.","http://www.heavyequipmentguide.ca/company/1339/mclaren-industries-inc","McLaren Industries, Inc.","12440 Carson Street","Phone: 310-212-1333","Phone: 310-212-1333"
"BLS Enterprises, Inc.","http://www.heavyequipmentguide.ca/company/124/bls-enterprises-inc","BLS Enterprises, Inc.","1115 Hilltop Drive, Unit B1","Phone: 1-800-307-0299","Phone: 1-800-307-0299"
"Rona","http://www.heavyequipmentguide.ca/company/2665/rona","Rona","null","Website:
                                    
                                        www.rona.ca","Website:
                                    
                                        www.rona.ca"
"Matrox Graphics","http://www.heavyequipmentguide.ca/company/3221/matrox-graphics","Matrox Graphics","1055 St-Regis Blvd.","Phone: (514) 822-6000","Phone: (514) 822-6000"
"Inertia Machine Corporation","http://www.heavyequipmentguide.ca/company/3619/inertia-machine-corporation","Inertia Machine Corporation","730 S. HANCOCK AVE.","Website:
                                    
                                        www.inertiamac.com/","Website:
                                    
                                        www.inertiamac.com/"
"Smico/Symons Screens","http://www.heavyequipmentguide.ca/company/4756/smicosymons-screens","Smico/Symons Screens","null","null","null"
"Arnco","http://www.heavyequipmentguide.ca/company/1073/arnco","Arnco","5141 Firestone Place","Phone: (323)249-7500","Phone: (323)249-7500"
"KCMA Corporation (Kawasaki Wheel Loaders)","http://www.heavyequipmentguide.ca/company/590/kcma-corporation-kawasaki-wheel-loaders","KCMA Corporation (Kawasaki Wheel Loaders)","2140 Barrett Park Drive, Suite 101","Phone: 770-499-7000","Phone: 770-499-7000"
"TokensDirect","http://www.heavyequipmentguide.ca/company/3875/tokensdirect","TokensDirect","null","null","null"
"DAKOTA Peat & Equipment","http://www.heavyequipmentguide.ca/company/1367/dakota-peat-equipment","DAKOTA Peat & Equipment","PO Box 14088","Phone: 800-424-3443","Phone: 800-424-3443"
"CE Attachments Inc.","http://www.heavyequipmentguide.ca/company/145/ce-attachments-inc","CE Attachments Inc.","P.O. Box 179","Phone: 866.232.8224","Phone: 866.232.8224"
"CreteSheet","http://www.heavyequipmentguide.ca/company/1379/cretesheet","CreteSheet","null","Phone: 1(866) 571-7749","Phone: 1(866) 571-7749"
"Trencor","http://www.heavyequipmentguide.ca/company/1611/trencor","Trencor","null","null","null"
"Fassi","http://www.heavyequipmentguide.ca/company/6222/fassi","Fassi","Via Roma, 110","E-mail:
                                    
                                        fassi@fassi.com","E-mail:
                                    
                                        fassi@fassi.com"
"Task Tools & Abrasives","http://www.heavyequipmentguide.ca/company/2250/task-tools-abrasives","Task Tools & Abrasives","null","null","null"
"Lincolin Electric","http://www.heavyequipmentguide.ca/company/4251/lincolin-electric","Lincolin Electric","null","null","null"
"Bauma 2016","http://www.heavyequipmentguide.ca/company/3441/bauma-2016","Bauma 2016","DE","Website:
                                    
                                        www.bauma.de/","Website:
                                    
                                        www.bauma.de/"
"ACS-AMISTCO, Inc.","http://www.heavyequipmentguide.ca/company/4536/acs-amistco-inc","ACS-AMISTCO, Inc.","null","null","null"
"GDS International","http://www.heavyequipmentguide.ca/company/3976/gds-international","GDS International","null","Website:
                                    
                                        www.globaldrillingsupport.com","Website:
                                    
                                        www.globaldrillingsupport.com"
"The University of British Columbia | Okanagan Campus","http://www.heavyequipmentguide.ca/company/6264/the-university-of-british-columbia-okanagan-campus","The University of British Columbia | Okanagan Campus","3333 University Way","Phone: 250-807-9926","Phone: 250-807-9926"
"Frank Jonkman & Sons Ltd.","http://www.heavyequipmentguide.ca/company/2694/frank-jonkman-sons-ltd","Frank Jonkman & Sons Ltd.","null","Website:
                                    
                                        www.jonkman.com","Website:
                                    
                                        www.jonkman.com"
"Caterpillar Oil and Gas","http://www.heavyequipmentguide.ca/company/5389/caterpillar-oil-and-gas","Caterpillar Oil and Gas","13105 NW Freeway, Suite 1100","Phone: 713-329-2207","Phone: 713-329-2207"
"Conymet Duratray","http://www.heavyequipmentguide.ca/company/372/conymet-duratray","Conymet Duratray","4600 S Syracuse St, Suite 900","Phone: +1 303 256 6642","Phone: +1 303 256 6642"
"Schwarze Industries","http://www.heavyequipmentguide.ca/company/4104/schwarze-industries","Schwarze Industries","null","null","null"
"Nissan","http://www.heavyequipmentguide.ca/company/2139/nissan","Nissan","null","Website:
                                    
                                        www.shiftfleet.ca","Website:
                                    
                                        www.shiftfleet.ca"
"Vista Training, Inc.","http://www.heavyequipmentguide.ca/company/1925/vista-training-inc","Vista Training, Inc.","null","null","null"
"Manulift","http://www.heavyequipmentguide.ca/company/4427/manulift","Manulift","null","null","null"
"Terex Trucks","http://www.heavyequipmentguide.ca/company/5408/terex-trucks","Terex Trucks","Newhouse Industrial Estate","Website:
                                    
                                        www.terextrucks.com","Website:
                                    
                                        www.terextrucks.com"
"CaGBC","http://www.heavyequipmentguide.ca/company/5231/cagbc","CaGBC","null","null","null"
"Bergkamp Inc.","http://www.heavyequipmentguide.ca/company/114/bergkamp-inc","Bergkamp Inc.","3040 Emulsion Drive","Phone: 800.283.7226","Phone: 800.283.7226"
"IRWIN Industrial Tool Company","http://www.heavyequipmentguide.ca/company/2516/irwin-industrial-tool-company","IRWIN Industrial Tool Company","null","Phone: 1-800-GO-IRWIN","Phone: 1-800-GO-IRWIN"
"Redhead Equipment","http://www.heavyequipmentguide.ca/company/5716/redhead-equipment","Redhead Equipment","Box 9191, Hwy 16 N","Phone: 306-721-2666","Phone: 306-721-2666"
"Lubecore International","http://www.heavyequipmentguide.ca/company/5234/lubecore-international","Lubecore International","null","null","null"
"RexCon","http://www.heavyequipmentguide.ca/company/4422/rexcon","RexCon","null","null","null"
"Extech Instruments","http://www.heavyequipmentguide.ca/company/397/extech-instruments","Extech Instruments","285 Bear Hill Road","Website:
                                    
                                        www.extech.com","Website:
                                    
                                        www.extech.com"
"Kim Lighting, Inc.","http://www.heavyequipmentguide.ca/company/2215/kim-lighting-inc","Kim Lighting, Inc.","P.O. Box 60080","Phone: (626) 968-5666","Phone: (626) 968-5666"
"Telogis","http://www.heavyequipmentguide.ca/company/3945/telogis","Telogis","null","null","null"
"Paul Wever Construction Equipment","http://www.heavyequipmentguide.ca/company/705/paul-wever-construction-equipment","Paul Wever Construction Equipment","401 Martin Dr. -- P.O. Box 85","Phone: -800-990-7923","Phone: -800-990-7923"
"The Toro Company","http://www.heavyequipmentguide.ca/company/40/the-toro-company","The Toro Company","8111 Lyndale Ave","Phone: 1 (800) DIG-TORO","Phone: 1 (800) DIG-TORO"
"John Deere Construction & Forestry","http://www.heavyequipmentguide.ca/company/1037/john-deere-construction-forestry","John Deere Construction & Forestry","One John Deere Place","Website:
                                    
                                        www.deere.com","Website:
                                    
                                        www.deere.com"
"UpRight","http://www.heavyequipmentguide.ca/company/1819/upright","UpRight","null","null","null"
"MSA","http://www.heavyequipmentguide.ca/company/222/msa","MSA","1000 Cranberry Woods Drive","Phone: 412-967-3000","Phone: 412-967-3000"
"Vermeer","http://www.heavyequipmentguide.ca/company/503/vermeer","Vermeer","1210 Vermeer Road East","Phone: 641-628-3141","Phone: 641-628-3141"
"Enerpac","http://www.heavyequipmentguide.ca/company/504/enerpac","Enerpac","6615 Ordan Drive - Unit 14-15","Phone: +1 905 564 5749","Phone: +1 905 564 5749"
"SANY America, Inc.","http://www.heavyequipmentguide.ca/company/1617/sany-america-inc","SANY America, Inc.","318 Cooper Circle","Telephone: 678-251-2810","Telephone: 678-251-2810"
"Shell Rotella","http://www.heavyequipmentguide.ca/company/5287/shell-rotella","Shell Rotella","null","Website:
                                    
                                        www.shell.com/rotella.html","Website:
                                    
                                        www.shell.com/rotella.html"
"SafeTec Platforms","http://www.heavyequipmentguide.ca/company/1178/safetec-platforms","SafeTec Platforms","null","null","null"
"Ammann Canada","http://www.heavyequipmentguide.ca/company/4886/ammann-canada","Ammann Canada","1483 Ravensmoor Cresent","Website:
                                    
                                        www.ammann-group.com/en/home/","Website:
                                    
                                        www.ammann-group.com/en/home/"
"Envista","http://www.heavyequipmentguide.ca/company/2283/envista","Envista","900 Cummings Center","Phone: (978) 232-6300","Phone: (978) 232-6300"
"Western Snowplows","http://www.heavyequipmentguide.ca/company/3163/western-snowplows","Western Snowplows","null","Website:
                                    
                                        www.westernplows.com","Website:
                                    
                                        www.westernplows.com"
"General Equipment Company","http://www.heavyequipmentguide.ca/company/487/general-equipment-company","General Equipment Company","620 Alexander Drive S.W.","Phone: 507-451-5510","Phone: 507-451-5510"
"Bird Construction Company","http://www.heavyequipmentguide.ca/company/2671/bird-construction-company","Bird Construction Company","5403 Eglinton Avenue West","Phone: (416) 620-7122","Phone: (416) 620-7122"
"ADT Security Services","http://www.heavyequipmentguide.ca/company/3167/adt-security-services","ADT Security Services","8500 Baxter Place","Phone: 1-877-627-0504","Phone: 1-877-627-0504"
